open,high,low,volume,company_decayed,sector_decayed,final_sentiment,sentiment_3d_avg,sentiment_7d_avg,sentiment_14d_avg,target,close
1684.7,1691.0,1670.0,13958136.0,-0.06470801234245296,0.08056748179452745,-0.021125364101358807,0.36203660801059373,0.40234719221850995,0.5271308505740906,1687.25,1687.6
1688.7,1699.0,1682.0,16110592.0,0.7016709713370406,0.3292087851103105,0.5899323154690214,0.36203660801059373,0.40234719221850995,0.5271308505740906,1693.15,1687.25
1684.9500000000003,1695.9999999999998,1679.65,14703635.0,0.506063884734804,0.5435271778325192,0.5173028726641186,0.36203660801059373,0.40234719221850995,0.5271308505740906,1727.8,1693.15
1687.1,1734.4499999999998,1687.1,28427319.0,0.3580543137023769,0.6023406744242225,0.4313402219189307,0.512858470017357,0.40234719221850995,0.5271308505740906,1625.65,1727.8
1639.0,1660.95,1622.1,31385208.0,0.1409994111387529,0.46431993773155417,0.23799556911659323,0.3955462212332141,0.40234719221850995,0.5271308505740906,1644.45,1625.65
1635.0,1650.35,1630.0,18622262.0,0.6479754151909969,0.10782271560778836,0.48592960531603424,0.3850884654505194,0.40234719221850995,0.5271308505740906,1644.5,1644.45
1649.9,1656.0,1639.95,21844469.0,0.7379235714044579,0.1950287505436979,0.5750551251462299,0.4329934331929525,0.40234719221850995,0.5271308505740906,1652.1,1644.5
1644.5,1654.65,1633.1,23170275.0,0.8564537400771336,0.40514615034450946,0.7210614631573463,0.5940153978732037,0.5083738818268964,0.5271308505740906,1653.2,1652.1
1665.15,1687.9999999999998,1649.25,17867309.0,0.6587910167021579,0.4854912074886064,0.6068010739380925,0.6343058874138894,0.510783704465335,0.5271308505740906,1667.8,1653.2
1647.0,1672.8,1644.2499999999998,11239380.0,0.4553338842725762,0.6524592994451984,0.5144715088243629,0.6141113486399339,0.5103792239167985,0.5271308505740906,1675.7999999999997,1667.8
1672.0,1680.75,1665.1000000000001,9256130.0,0.5515633869522999,0.5508439508176963,0.551347556111919,0.5575400462914581,0.5275231288015111,0.5271308505740906,1647.3,1675.7999999999997
1671.8,1671.8,1644.0000000000002,16361043.0,0.8295437234356188,0.5370246135848057,0.7417879904803747,0.6025356851388856,0.5994934747106229,0.5271308505740906,1638.45,1647.3
1650.0,1650.0,1625.35,15233433.999999998,0.9457893536136195,0.35272940657811847,0.767871369502969,0.6870023053650876,0.6397708695944706,0.5271308505740906,1645.0,1638.45
1648.0,1653.95,1640.0,24823471.0,0.8227412048439648,0.2804725236728658,0.6600606004926353,0.7232399868253262,0.6519145089296714,0.5271308505740906,1646.9,1645.0
1648.0,1650.0,1631.55,15230166.0,0.7775177029324691,0.3490991142164877,0.6489921263176746,0.6923080321044263,0.6416188893811469,0.5749963856040216,1641.0500000000002,1646.9
1645.0,1652.9,1632.7,14167016.0,1.0334652078108655,0.8840664954332584,0.9886455940975833,0.7658994403026311,0.6961681065467884,0.6034759055060618,1637.2,1641.0500000000002
1649.0,1649.6,1633.45,11235037.0,1.2630207453148252,0.9025167714090124,1.1548695531430813,0.9308357578527794,0.7876535414494624,0.6490163826831304,1615.8,1637.2
1627.55,1634.75,1613.6,16794056.0,0.7895392026417692,0.9979952100311118,0.852076004858572,0.9985303840330786,0.83061474841327,0.6790689386073907,1609.6,1615.8
1615.7,1620.05,1597.35,14888465.000000002,0.7519341775834847,0.5050571351655515,0.6778710648581046,0.8949388742865857,0.82148375903866,0.7104886168746415,1615.8,1609.6
1619.0,1619.0,1602.25,13317533.0,0.9021730394693639,0.31287689238638383,0.7253841953444699,0.7517770883537154,0.8154141627303029,0.7275925161623868,1635.4999999999998,1615.8
1628.5,1641.0000000000002,1624.85,10908146.0,0.6619743137015343,0.1978598462597804,0.5227399734690079,0.6419984112238607,0.7957969302983561,0.7238557196140138,1636.75,1635.4999999999998
1633.6,1642.65,1628.55,18562964.0,1.2354036278872031,0.10146193528468588,0.895221120106448,0.7144484296399751,0.8309725008396095,0.7362956951103782,1610.85,1636.75
1629.9,1634.95,1604.65,21667135.0,0.6612883040836415,0.3897832646411437,0.5798367922508922,0.6659326286087826,0.7725712434329394,0.7343696749898638,1604.0,1610.85
1619.9,1619.9,1600.0,25183469.0,0.6154821857979239,-0.07393546442457158,0.4086568907311751,0.6279049343628386,0.6659694345169527,0.7268114879832075,1606.5,1604.0
1612.45,1614.8,1601.0,8929855.0,0.7097321501091948,0.2552058262957331,0.5733742529651562,0.5206226453157412,0.6261548985321791,0.7283848234727246,1604.4,1606.5
1614.5,1616.5,1602.45,9348621.0,1.5655468179782812,0.6633379947063683,1.2948841709967074,0.7589717715643461,0.7142996279805509,0.7678916935096055,1599.4,1604.4
1607.65,1609.85,1592.25,16091426.000000002,0.9009310279111463,0.7613863857815716,0.8590676352722738,0.9091086864113791,0.7333972622559515,0.7744057124931272,1607.7,1599.4
1603.4499999999998,1612.55,1596.0,12474513.0,0.4900815548334753,0.6901603423779734,0.5501051910968245,0.9013523324552681,0.7373065790599254,0.7665517546791408,1608.7,1607.7
1603.25,1626.0,1603.25,18697761.0,0.6041261388002027,1.1007992492604353,0.7531280719382724,0.7207669661024569,0.7170075721787574,0.7739900365091835,1610.6,1608.7
1615.9,1618.5,1607.0,9106289.0,0.9726190891398955,1.0315269927083857,0.9902914602104427,0.7645082410818467,0.7756439533158359,0.7741075983743876,1600.8,1610.6
1612.5500000000002,1615.8,1599.45,6704146.0,0.9744351174024142,1.1743462255220256,1.0344084498382975,0.9259426606623372,0.8650370331882821,0.7655032338526174,1603.5,1600.8
