,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,28-Oct-2025,EQ,"1,484.10","1,492.00","1,477.60","1,484.10","1,489.70","1,486.90","1,484.96","1,551.00","1,114.85","1,76,31,577","26,18,22,48,923.90","3,14,894"
1,27-Oct-2025,EQ,"1,463.00","1,485.00","1,458.00","1,451.60","1,483.20","1,484.10","1,480.24","1,551.00","1,114.85","1,41,13,867","20,89,18,82,342.50","2,74,839"
2,24-Oct-2025,EQ,"1,450.00","1,459.80","1,441.00","1,448.40","1,451.10","1,451.60","1,450.25","2,752.00","1,114.85","97,00,837","14,06,86,22,023.20","2,21,258"
3,23-Oct-2025,EQ,"1,475.00","1,482.90","1,444.60","1,465.20","1,448.00","1,448.40","1,464.71","2,752.00","1,114.85","1,87,07,090","27,40,03,74,842.50","3,76,220"
4,21-Oct-2025,EQ,"1,468.00","1,474.00","1,460.00","1,466.80","1,461.00","1,465.20","1,467.87","2,752.00","1,114.85","20,66,169","3,03,28,61,642.80","86,819"
5,20-Oct-2025,EQ,"1,440.00","1,473.80","1,433.30","1,416.80","1,467.90","1,466.80","1,461.76","2,752.00","1,114.85","2,47,21,978","36,13,76,73,257.50","5,12,798"
6,17-Oct-2025,EQ,"1,401.00","1,423.30","1,399.10","1,398.30","1,419.10","1,416.80","1,413.78","2,760.15","1,114.85","1,93,35,561","27,33,62,05,033.00","3,50,761"
7,16-Oct-2025,EQ,"1,375.10","1,400.50","1,375.00","1,374.30","1,398.50","1,398.30","1,387.20","2,760.15","1,114.85","1,23,15,932","17,08,46,36,046.80","2,87,913"
8,15-Oct-2025,EQ,"1,383.00","1,384.00","1,372.70","1,375.90","1,374.70","1,374.30","1,377.15","2,760.15","1,114.85","1,08,82,743","14,98,71,55,897.30","2,39,811"
9,14-Oct-2025,EQ,"1,380.00","1,388.00","1,370.10","1,375.00","1,374.90","1,375.90","1,377.47","2,760.15","1,114.85","97,68,174","13,45,53,95,764.80","1,64,937"
10,13-Oct-2025,EQ,"1,376.90","1,377.70","1,367.80","1,381.70","1,376.00","1,375.00","1,372.70","2,760.15","1,114.85","76,00,682","10,43,34,92,493.50","1,75,585"
11,10-Oct-2025,EQ,"1,377.80","1,388.00","1,375.10","1,377.80","1,380.90","1,381.70","1,383.21","2,802.00","1,114.85","63,73,084","8,81,53,17,323.10","1,93,985"
12,09-Oct-2025,EQ,"1,374.00","1,380.00","1,369.10","1,367.40","1,376.50","1,377.80","1,376.25","2,802.00","1,114.85","88,26,633","12,14,76,69,213.50","2,17,890"
13,08-Oct-2025,EQ,"1,384.80","1,389.00","1,364.50","1,384.80","1,367.30","1,367.40","1,371.62","2,802.00","1,114.85","85,25,081","11,69,32,12,975.10","2,14,245"
14,07-Oct-2025,EQ,"1,376.00","1,395.90","1,375.90","1,375.00","1,384.50","1,384.80","1,386.79","2,802.00","1,114.85","1,12,44,040","15,59,31,76,402.20","1,96,055"
