,date,open,high,low,close,volume,company_decayed,sector_decayed,final_sentiment,sentiment_3d_avg,sentiment_7d_avg,sentiment_14d_avg,target,close_raw
0,2023-04-28,840.26,843.4,832.93,841.71,13958136.0,-0.064708012342453,0.0805674817945275,-0.0211253641013588,0.3620366080105937,0.4023471922185099,0.5271308505740906,841.53,841.71
1,2023-05-02,842.25,847.39,838.91,841.53,16110592.0,0.7016709713370406,0.3292087851103105,0.5899323154690215,0.3620366080105937,0.4023471922185099,0.5271308505740906,844.47,841.53
2,2023-05-03,840.38,845.9,837.74,844.47,14703635.0,0.506063884734804,0.5435271778325191,0.5173028726641186,0.3620366080105937,0.4023471922185099,0.5271308505740906,861.76,844.47
3,2023-05-04,841.46,865.07,841.46,861.76,28427319.0,0.358054313702377,0.6023406744242226,0.4313402219189306,0.512858470017357,0.4023471922185099,0.5271308505740906,810.81,861.76
4,2023-05-05,817.47,828.41,809.04,810.81,31385208.0,0.1409994111387529,0.4643199377315541,0.2379955691165932,0.3955462212332141,0.4023471922185099,0.5271308505740906,820.18,810.81
5,2023-05-08,815.47,823.13,812.98,820.18,18622262.0,0.6479754151909969,0.1078227156077884,0.4859296053160343,0.3850884654505194,0.4023471922185099,0.5271308505740906,820.21,820.18
6,2023-05-09,822.9,825.94,817.94,820.21,21844469.0,0.7379235714044579,0.1950287505436979,0.5750551251462299,0.4329934331929525,0.4023471922185099,0.5271308505740906,824.0,820.21
7,2023-05-10,820.21,825.27,814.52,824.0,23170275.0,0.8564537400771337,0.4051461503445094,0.7210614631573463,0.5940153978732036,0.5083738818268964,0.5271308505740906,824.55,824.0
8,2023-05-11,830.51,841.91,822.58,824.55,17867309.0,0.658791016702158,0.4854912074886064,0.6068010739380925,0.6343058874138895,0.510783704465335,0.5271308505740906,831.83,824.55
9,2023-05-12,821.46,834.32,820.08,831.83,11239380.0,0.4553338842725762,0.6524592994451984,0.5144715088243629,0.6141113486399339,0.5103792239167985,0.5271308505740906,835.82,831.83
10,2023-05-15,833.93,838.29,830.48,835.82,9256130.0,0.5515633869522999,0.5508439508176964,0.5513475561119189,0.5575400462914581,0.5275231288015111,0.5271308505740906,821.61,835.82
11,2023-05-16,833.83,833.83,819.96,821.61,16361043.0,0.8295437234356188,0.5370246135848058,0.7417879904803748,0.6025356851388856,0.5994934747106228,0.5271308505740906,817.19,821.61
12,2023-05-17,822.95,822.95,810.66,817.19,15233434.0,0.9457893536136196,0.3527294065781184,0.7678713695029691,0.6870023053650876,0.6397708695944706,0.5271308505740906,820.46,817.19
13,2023-05-18,821.95,824.92,817.96,820.46,24823471.0,0.822741204843965,0.2804725236728658,0.6600606004926353,0.7232399868253263,0.6519145089296714,0.5271308505740906,821.41,820.46
14,2023-05-19,821.95,822.95,813.75,821.41,15230166.0,0.7775177029324689,0.3490991142164877,0.6489921263176746,0.6923080321044264,0.6416188893811469,0.5749963856040216,818.49,821.41
15,2023-05-22,820.46,824.4,814.32,818.49,14167016.0,1.0334652078108653,0.8840664954332584,0.9886455940975832,0.765899440302631,0.6961681065467884,0.6034759055060618,816.57,818.49
16,2023-05-23,822.45,822.75,814.7,816.57,11235037.0,1.2630207453148252,0.9025167714090124,1.1548695531430813,0.9308357578527796,0.7876535414494624,0.6490163826831304,805.89,816.57
17,2023-05-24,811.76,815.35,804.8,805.89,16794056.0,0.7895392026417691,0.9979952100311118,0.8520760048585719,0.9985303840330788,0.83061474841327,0.6790689386073907,802.8,805.89
18,2023-05-25,805.84,808.01,796.69,802.8,14888465.0,0.7519341775834847,0.5050571351655514,0.6778710648581046,0.8949388742865859,0.82148375903866,0.7104886168746415,805.89,802.8
19,2023-05-26,807.49,807.49,799.14,805.89,13317533.0,0.9021730394693638,0.3128768923863838,0.7253841953444697,0.7517770883537155,0.8154141627303029,0.7275925161623868,815.72,805.89
20,2023-05-29,812.23,818.46,810.41,815.72,10908146.0,0.661974313701534,0.1978598462597804,0.5227399734690079,0.6419984112238607,0.7957969302983561,0.7238557196140138,816.34,815.72
